"index","case","datetime","key_value","name","units","value"
1,"Dark_Sparse_No Shade",2017-07-01,"F0171B","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",19.4725747454002
1,"Dark_Sparse_No Shade",2017-07-01,"E34B53","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",23.1713411191411
1,"Dark_Sparse_No Shade",2017-07-01,"EB381E","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",70.6812455487209
1,"Dark_Sparse_No Shade",2017-07-01,"4BBE32","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",63.6018534076436
1,"Dark_Sparse_No Shade",2017-07-01,"92B573","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",68.602729673938
1,"Dark_Sparse_No Shade",2017-07-01,"127502","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",42.7714802440141
1,"Dark_Sparse_No Shade",2017-07-01,"1432F0","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",69.4960218865178
1,"Dark_Sparse_No Shade",2017-07-01,"9B19D6","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",69.351098239702
1,"Dark_Sparse_No Shade",2017-07-01,"9BDED2","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",69.6663808315171
1,"Dark_Sparse_No Shade",2017-07-01,"EB9560","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",56.8279902337387
1,"Dark_Sparse_No Shade",2017-07-01,"49FCED","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",63.3260830940862
1,"Dark_Sparse_No Shade",2017-07-01,"DFBD24","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",56.5269485094944
1,"Dark_Sparse_No Shade",2017-07-01,"A8D3AE","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",53.0745636952367
1,"Dark_Sparse_No Shade",2017-07-01,"965308","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",19.7608730317077
1,"Dark_Sparse_No Shade",2017-07-01,"7807BB","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",19.9353926046126
1,"Dark_Sparse_No Shade",2017-07-01,"17D3BF","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",71.453363263817
1,"Dark_Sparse_No Shade",2017-07-01,"E9194B","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",19.6262542254604
1,"Dark_Sparse_No Shade",2017-07-01,"DC887A","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",19.3307716072838
1,"Dark_Sparse_No Shade",2017-07-01,"FF7408","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",66.1162650701766
1,"Dark_Sparse_No Shade",2017-07-01,"42F015","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",51.2374290167874
1,"Dark_Sparse_No Shade",2017-07-01,"5C02CA","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",47.0915785182039
1,"Dark_Sparse_No Shade",2017-07-01,"EFE5C8","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",35.5150733905643
1,"Dark_Sparse_No Shade",2017-07-01,"BD6CAC","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",63.4553523839795
1,"Dark_Sparse_No Shade",2017-07-01,"F6C20E","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",63.8654157284905
1,"Dark_Sparse_No Shade",2017-07-01,"C6D9BB","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",63.079033519295
1,"Dark_Sparse_No Shade",2017-07-01,"589F6F","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",34.9546821732235
1,"Dark_Sparse_No Shade",2017-07-01,"555196","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",43.1938122846522
1,"Dark_Sparse_No Shade",2017-07-01,"C6AAEF","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",19.8092316117053
1,"Dark_Sparse_No Shade",2017-07-01,"D0B56C","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",19.5455725553101
1,"Dark_Sparse_No Shade",2017-07-01,"13A266","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",60.1069582381086
1,"Dark_Sparse_No Shade",2017-07-01,"3CC912","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",59.2863464811261
1,"Dark_Sparse_No Shade",2017-07-01,"EE77B9","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",54.3539741172177
1,"Dark_Sparse_No Shade",2017-07-01,"DAB157","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",47.2891831173909
1,"Dark_Sparse_No Shade",2017-07-01,"B56771","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",65.6365793312599
1,"Dark_Sparse_No Shade",2017-07-01,"8ECBCC","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",66.8312051427229
1,"Dark_Sparse_No Shade",2017-07-01,"421611","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",65.7754406985324
1,"Dark_Sparse_No Shade",2017-07-01,"A5E1A8","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",60.485296867853
1,"Dark_Sparse_No Shade",2017-07-01,"3B958D","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",19.4773570803486
1,"Dark_Sparse_No Shade",2017-07-01,"EF34E7","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",19.2362164451672
